year,start_equity,end_equity,pnl,return_pct,max_deployed
1996,4880000.0,4860079.0064,-19920.9936,-0.4082,510000.0
1997,4883136.3201,4967604.6109,84468.2908,1.7298,860000.0
1998,4969994.3383,5069611.286,99616.9477,2.0044,850000.0
1999,5070801.7089,5752427.7416,681626.0328,13.4422,970000.0
2000,5835373.6709,5620762.2648,-214611.4061,-3.6778,880000.0
2001,5621033.9475,5487188.1376,-133845.8099,-2.3812,940000.0
2002,5483335.4505,5879395.0069,396059.5564,7.223,1910000.0
2003,5895502.7495,9383040.0672,3487537.3176,59.1559,2790000.0
2004,9503470.7528,10224363.3395,720892.5867,7.5856,2930000.0
2005,10306968.0271,12221314.0228,1914345.9957,18.5733,2910000.0
2006,12264207.2589,13380828.2211,1116620.9622,9.1047,2730000.0
2007,13377600.1332,15953285.7699,2575685.6367,19.2537,3360000.0
2008,16053705.5057,13635717.4082,-2417988.0975,-15.0619,3380000.0
2009,13722064.194,17753579.4533,4031515.2593,29.3798,3660000.0
2010,17835864.6163,18863692.7397,1027828.1234,5.7627,3430000.0
2011,18882949.26,18045429.5635,-837519.6964,-4.4353,3120000.0
2012,18041328.0304,19167249.026,1125920.9956,6.2408,3640000.0
2013,19200399.8769,19637513.0661,437113.1892,2.2766,3800000.0
2014,19668074.016,23044548.3546,3376474.3385,17.1673,4040000.0
2015,23072995.1067,23681326.9073,608331.8006,2.6366,3310000.0
2016,23718221.6967,24023007.3352,304785.6385,1.285,3800000.0
2017,24047081.4792,26591308.0879,2544226.6087,10.5802,3710000.0
2018,26593706.0421,25716543.2888,-877162.7532,-3.2984,3900000.0
2019,25725880.2057,25555767.9374,-170112.2683,-0.6612,3880000.0
2020,25577507.9416,27857029.0327,2279521.0912,8.9122,4370000.0
2021,27927660.1615,31549025.6131,3621365.4516,12.9669,4460000.0
2022,31620328.754,31619354.2931,-974.4609,-0.0031,4380000.0
2023,31655665.5099,34653665.2228,2997999.7129,9.4707,4870000.0
2024,34663080.4591,36120909.9465,1457829.4874,4.2057,4650000.0
2025,36163936.9245,35804553.9516,-359382.9729,-0.9938,4880000.0
2026,35812602.6034,35297064.8924,-515537.711,-1.4395,3200000.0
