year,start_equity,end_equity,pnl,return_pct,max_deployed
1996,400000.0,382591.6906,-17408.3094,-4.3521,350000.0
1997,396458.1353,446793.0989,50334.9636,12.6962,440000.0
1998,449601.9575,480327.5953,30725.6378,6.834,440000.0
1999,480130.529,819771.0181,339640.4891,70.7392,550000.0
2000,872427.1711,785918.9401,-86508.231,-9.9158,730000.0
2001,786536.3148,663386.9748,-123149.34,-15.6572,690000.0
2002,660395.7323,951847.793,291452.0607,44.1329,780000.0
2003,958720.9059,2414175.4425,1455454.5366,151.8121,960000.0
2004,2466169.6873,3293514.6286,827344.9413,33.5478,1850000.0
2005,3351133.6825,5074210.8339,1723077.1514,51.4177,2350000.0
2006,5113041.1299,6230805.0441,1117763.9142,21.861,2650000.0
2007,6227576.9563,8780283.0246,2552706.0683,40.9904,3330000.0
2008,8879990.4937,6518885.6288,-2361104.8649,-26.589,3350000.0
2009,6605232.4146,10636747.6738,4031515.2593,61.0352,3660000.0
2010,10719032.8368,11746860.9602,1027828.1234,9.5888,3430000.0
2011,11766117.4805,10928597.7841,-837519.6964,-7.1181,3120000.0
2012,10924496.2509,12050417.2466,1125920.9956,10.3064,3640000.0
2013,12083568.0975,12520681.2867,437113.1892,3.6174,3800000.0
2014,12551242.2366,15927716.5751,3376474.3385,26.9015,4040000.0
2015,15956163.3272,16564495.1279,608331.8006,3.8125,3310000.0
2016,16601389.9172,16906175.5557,304785.6385,1.8359,3800000.0
2017,16930249.6998,19474476.3084,2544226.6087,15.0277,3710000.0
2018,19476874.2626,18599711.5094,-877162.7532,-4.5036,3900000.0
2019,18609048.4262,18438936.1579,-170112.2683,-0.9141,3880000.0
2020,18460676.1621,20740197.2533,2279521.0912,12.348,4370000.0
2021,20810828.382,24432193.8336,3621365.4516,17.4014,4460000.0
2022,24503496.9745,24502522.5136,-974.4609,-0.004,4380000.0
2023,24538833.7305,27536833.4433,2997999.7129,12.2174,4870000.0
2024,27546248.6796,29004078.1671,1457829.4874,5.2923,4650000.0
2025,29047105.145,28687722.1721,-359382.9729,-1.2372,4880000.0
2026,28695770.8239,28180233.1129,-515537.711,-1.7966,3200000.0
