strategy,universe,bucket,trade_count,avg_return_pct,win_rate_pct,median_duration_days
Combination Strategy 3,N50,-2σ to -1σ,499.0,2.65,44.69,14.12
Combination Strategy 3,N50,-3σ to -2σ,44.0,1.43,43.18,15.32
Combination Strategy 3,N50,< -3σ,28.0,4.14,42.86,14.82
Combination Strategy 3,N50,excluded,602.0,1.99,45.35,14.11
Combination Strategy 3,N150,-2σ to -1σ,1418.0,2.78,39.63,14.49
Combination Strategy 3,N150,-3σ to -2σ,187.0,6.72,45.45,17.63
Combination Strategy 3,N150,< -3σ,38.0,4.74,44.74,18.63
Combination Strategy 3,N150,excluded,1396.0,1.72,37.97,13.15
Combination Strategy 3,N250,-2σ to -1σ,1898.0,3.35,40.73,14.6
Combination Strategy 3,N250,-3σ to -2σ,295.0,7.46,51.19,19.11
Combination Strategy 3,N250,< -3σ,75.0,5.64,41.33,22.2
Combination Strategy 3,N250,excluded,1993.0,2.39,39.44,13.22
Combination Strategy 5,N50,+1sigma to +2sigma,109.0,4.79,53.21,63.0
Combination Strategy 5,N50,+2sigma to +3sigma,39.0,3.66,43.59,56.0
Combination Strategy 5,N50,-1sigma to 0sigma,1153.0,6.16,43.1,77.0
Combination Strategy 5,N50,-2sigma to -1sigma,525.0,11.64,47.24,98.0
Combination Strategy 5,N50,-3sigma to -2sigma,56.0,19.95,44.64,129.5
Combination Strategy 5,N50,0sigma to +1sigma,423.0,9.14,51.3,70.0
Combination Strategy 5,N50,< -3sigma,37.0,19.76,62.16,91.0
Combination Strategy 5,N50,> +3sigma,6.0,9.51,50.0,77.0
Combination Strategy 5,N150,+1sigma to +2sigma,194.0,6.77,52.58,63.0
Combination Strategy 5,N150,+2sigma to +3sigma,71.0,12.41,42.25,42.0
Combination Strategy 5,N150,-1sigma to 0sigma,2229.0,8.41,42.98,70.0
Combination Strategy 5,N150,-2sigma to -1sigma,1366.0,10.37,42.68,98.0
Combination Strategy 5,N150,-3sigma to -2sigma,232.0,19.28,44.83,122.5
Combination Strategy 5,N150,0sigma to +1sigma,859.0,8.0,47.26,63.0
Combination Strategy 5,N150,< -3sigma,44.0,13.86,38.64,105.0
Combination Strategy 5,N150,> +3sigma,19.0,4.21,47.37,56.0
Combination Strategy 5,N250,+1sigma to +2sigma,248.0,10.78,47.98,56.0
Combination Strategy 5,N250,+2sigma to +3sigma,51.0,4.92,50.98,56.0
Combination Strategy 5,N250,-1sigma to 0sigma,2718.0,10.59,41.83,70.0
Combination Strategy 5,N250,-2sigma to -1sigma,1934.0,11.28,41.52,98.0
Combination Strategy 5,N250,-3sigma to -2sigma,395.0,15.44,40.76,119.0
Combination Strategy 5,N250,0sigma to +1sigma,1115.0,13.09,45.92,63.0
Combination Strategy 5,N250,< -3sigma,91.0,25.44,51.65,119.0
Combination Strategy 5,N250,> +3sigma,12.0,10.94,58.33,66.5
Combination Strategy 6,N50,+1sigma to +2sigma,4.0,414.84,50.0,234.5
Combination Strategy 6,N50,-1sigma to 0sigma,282.0,57.82,56.03,525.0
Combination Strategy 6,N50,-2sigma to -1sigma,49.0,120.53,63.27,532.0
Combination Strategy 6,N50,-3sigma to -2sigma,6.0,19.56,33.33,231.0
Combination Strategy 6,N50,0sigma to +1sigma,99.0,176.77,58.59,413.0
Combination Strategy 6,N50,< -3sigma,8.0,189.2,62.5,703.5
Combination Strategy 6,N150,+1sigma to +2sigma,3.0,266.36,66.67,1043.0
Combination Strategy 6,N150,-1sigma to 0sigma,596.0,87.9,51.68,504.0
Combination Strategy 6,N150,-2sigma to -1sigma,137.0,73.17,53.28,469.0
Combination Strategy 6,N150,-3sigma to -2sigma,11.0,43.22,63.64,609.0
Combination Strategy 6,N150,0sigma to +1sigma,186.0,168.47,51.08,458.5
Combination Strategy 6,N150,< -3sigma,5.0,23.01,40.0,336.0
Combination Strategy 6,N250,+1sigma to +2sigma,5.0,134.58,80.0,882.0
Combination Strategy 6,N250,-1sigma to 0sigma,812.0,98.36,49.75,413.0
Combination Strategy 6,N250,-2sigma to -1sigma,197.0,83.81,50.25,476.0
Combination Strategy 6,N250,-3sigma to -2sigma,15.0,128.98,66.67,392.0
Combination Strategy 6,N250,0sigma to +1sigma,264.0,86.1,57.2,553.0
Combination Strategy 6,N250,< -3sigma,2.0,36.05,50.0,637.0
